song,feature,score,playlist
1,danceability,0.662,2020
1,energy,0.478,2020
1,key,9,2020
1,loudness,-8.631,2020
1,mode,1,2020
1,speechiness,0.0453,2020
1,acousticness,0.252,2020
1,instrumentalness,0.833,2020
1,liveness,0.216,2020
1,valence,0.43,2020
1,tempo,139.982,2020
1,type,audio_features,2020
1,id,1yCJHs8UFfmqMujayg9i5y,2020
1,uri,spotify,2020
1,track_href,https,2020
1,analysis_url,https,2020
1,duration_ms,422613,2020
1,time_signature,4,2020
2,danceability,0.857,2020
2,energy,0.368,2020
2,key,7,2020
2,loudness,-10.87,2020
2,mode,1,2020
2,speechiness,0.0409,2020
2,acousticness,0.0611,2020
2,instrumentalness,0.000548,2020
2,liveness,0.0703,2020
2,valence,0.725,2020
2,tempo,97.513,2020
2,type,audio_features,2020
2,id,0mGJYajNW8Y4T9NxnD6P79,2020
2,uri,spotify,2020
2,track_href,https,2020
2,analysis_url,https,2020
2,duration_ms,207160,2020
2,time_signature,4,2020
3,danceability,0.551,2020
3,energy,0.529,2020
3,key,5,2020
3,loudness,-10.469,2020
3,mode,0,2020
3,speechiness,0.0517,2020
3,acousticness,0.299,2020
3,instrumentalness,0.00674,2020
3,liveness,0.178,2020
3,valence,0.522,2020
3,tempo,75.515,2020
3,type,audio_features,2020
3,id,4LB5cNN7f18wIJA2RU4iIO,2020
3,uri,spotify,2020
3,track_href,https,2020
3,analysis_url,https,2020
3,duration_ms,182307,2020
3,time_signature,4,2020
4,danceability,0.555,2020
4,energy,0.492,2020
4,key,8,2020
4,loudness,-12.338,2020
4,mode,0,2020
4,speechiness,0.206,2020
4,acousticness,0.526,2020
4,instrumentalness,0.0354,2020
4,liveness,0.143,2020
4,valence,0.672,2020
4,tempo,144.506,2020
4,type,audio_features,2020
4,id,1hTo9vkhJuRkE5BGJeNfdt,2020
4,uri,spotify,2020
4,track_href,https,2020
4,analysis_url,https,2020
4,duration_ms,448653,2020
4,time_signature,4,2020
5,danceability,0.578,2020
5,energy,0.338,2020
5,key,8,2020
5,loudness,-12.005,2020
5,mode,1,2020
5,speechiness,0.0405,2020
5,acousticness,0.355,2020
5,instrumentalness,3.92e-06,2020
5,liveness,0.0866,2020
5,valence,0.53,2020
5,tempo,83.876,2020
5,type,audio_features,2020
5,id,6olfAuiqOGpkQLo4i5A7nd,2020
5,uri,spotify,2020
5,track_href,https,2020
5,analysis_url,https,2020
5,duration_ms,246545,2020
5,time_signature,4,2020
6,danceability,0.657,2020
6,energy,0.397,2020
6,key,3,2020
6,loudness,-10.558,2020
6,mode,1,2020
6,speechiness,0.0349,2020
6,acousticness,0.434,2020
6,instrumentalness,0.086,2020
6,liveness,0.0841,2020
6,valence,0.595,2020
6,tempo,94.016,2020
6,type,audio_features,2020
6,id,6UbOE1KhvE5EjWxAF0EaB8,2020
6,uri,spotify,2020
6,track_href,https,2020
6,analysis_url,https,2020
6,duration_ms,220880,2020
6,time_signature,4,2020
7,danceability,0.622,2020
7,energy,0.46,2020
7,key,7,2020
7,loudness,-8.389,2020
7,mode,0,2020
7,speechiness,0.0372,2020
7,acousticness,0.14,2020
7,instrumentalness,0.000369,2020
7,liveness,0.119,2020
7,valence,0.514,2020
7,tempo,183.241,2020
7,type,audio_features,2020
7,id,3bBmpVl9rQKJsFFGLFilIS,2020
7,uri,spotify,2020
7,track_href,https,2020
7,analysis_url,https,2020
7,duration_ms,242341,2020
7,time_signature,4,2020
8,danceability,0.514,2020
8,energy,0.632,2020
8,key,2,2020
8,loudness,-6.305,2020
8,mode,1,2020
8,speechiness,0.0501,2020
8,acousticness,0.208,2020
8,instrumentalness,0.0132,2020
8,liveness,0.115,2020
8,valence,0.31,2020
8,tempo,94.569,2020
8,type,audio_features,2020
8,id,601KiLiZtBJRTXBrTjeieP,2020
8,uri,spotify,2020
8,track_href,https,2020
8,analysis_url,https,2020
8,duration_ms,233818,2020
8,time_signature,4,2020
9,danceability,0.838,2020
9,energy,0.536,2020
9,key,2,2020
9,loudness,-6.288,2020
9,mode,1,2020
9,speechiness,0.0435,2020
9,acousticness,0.072,2020
9,instrumentalness,0.000259,2020
9,liveness,0.208,2020
9,valence,0.89,2020
9,tempo,119.956,2020
9,type,audio_features,2020
9,id,24G1PXBWoRgV0wDXZKwxzz,2020
9,uri,spotify,2020
9,track_href,https,2020
9,analysis_url,https,2020
9,duration_ms,224444,2020
9,time_signature,4,2020
10,danceability,0.72,2020
10,energy,0.625,2020
10,key,7,2020
10,loudness,-6.274,2020
